L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,LAT,LONG,SECPOV,AREA,POP,CNSMINPRM,CNSMINPRF,CNSUNEMPLM,CNSUNEMPLF,BRT,SUBWAY,URBAN_PROF,TRANS_PROF
Bahia Blanca,Argentina,487,0.2131,77.6331,2644.8505,5.1337,76.6488,1.032771033,3.67073743,938.4364744999999,142.7773087,3.411744545,-38.72527197,-62.27405962,0.0,6709.0581,304207.0,83.48871677,81.66793972,4.983075896,8.192796325,0,0,1,1
Mar del Plata,Argentina,765,0.5311,601.5286,8368.3755,6.7311,68.6631,1.02175559,10.80174931,2583.854577,130.0727985,3.505520118,-37.979858,-57.589794,0.0,10352.898000000001,624389.0,80.21473199,79.77473540000001,4.67409229,8.798722857000001,0,0,3,3
San Nicolas de los Arroyos,Argentina,166,0.2456,57.7036,1353.3899,4.0292,79.5763,1.028876481,4.375523191,1140.411408,142.470201,3.2111010010000003,-33.345709,-60.218393999999996,0.0,2881.4446,146973.0,85.21585954,81.40375591,5.385563200000001,9.153358592,0,0,1,1
Tandil,Argentina,491,0.1011,8.7144,1556.2258,3.9911,126.0122,1.066891586,0.7079341290000001,402.6114162,327.9991184,3.23861518,-37.31666545,-59.15000144,0.0,2719.3544,124628.0,84.45824473,83.07368343,4.480337079,7.9202238320000005,0,0,2,2
Catamarca,Argentina,250,0.2131,87.3944,2196.9427,4.7825,72.2277,1.0485746440000001,5.392896426,1115.701114,116.07814099999999,3.191040091,-28.46600099,-65.78099958,0.0,4666.5,203972.0,81.75646635,82.19259024,5.05712463,10.20644748,0,0,1,1
Cordoba,Argentina,1809,0.6109,1675.7533,16720.7425,8.6569,67.9044,1.050706298,11.86103956,2662.29909,128.227721,3.1955628380000003,-31.31600392,-64.17999863,0.0,29679.1776,1598919.0,85.09984989,83.98241004,4.915344643,9.209946348999999,1,0,4,3
Rio Cuarto,Argentina,1872,0.1008,5.7036,1361.2845,3.7062,227.3486,1.052379346,0.5428909820000001,372.5115392,397.8506567,3.2775235780000003,-33.122964,-64.348885,0.0,7784.7119999999995,251770.0,78.21120748,78.37774540000001,3.3773904480000003,8.020573817,0,0,2,2
Resistencia,Argentina,445,0.0959,59.317,4432.9149,6.817,74.7533,1.069711472,2.296927222,661.0437714,160.9849045,3.1061370669999997,-27.45700194,-58.98699862,0.0,6209.263000000001,412467.0,77.08925631,77.04015237,5.340412545,7.818743874,0,0,1,2
Comodoro Rivadavia,Argentina,568,0.0398,2.8667,972.1899,3.1574,126.1183,1.14853407,0.681905567,297.47501139999997,246.9201039,3.075925926,-45.82999795,-67.49999964,0.0,4210.584,187919.0,81.48374808,80.36304201,4.1388447269999995,7.487746093999999,0,0,2,2
Corrientes,Argentina,310,0.5517,314.6681,3684.5797,4.0633,69.7805,1.031139198,12.01607263,2258.386285,104.84222199999999,3.2826532,-27.486998999999997,-58.81799661,0.0,4798.521,367003.0,77.51408191,77.69869997,5.242696373999999,8.854507672,0,0,3,3
