COUNTRY,L1,BECTUAREA,BECNURBPTCH,BECPTCHDENS,BECAWMNSHPINDX,BECAWMNNNGH,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECTPOP,BECPOPDENS,BECPRSBRT,BECPRSSUBWAY,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,LAT,LONG,POP,AREA,DENSPOP,BRT,SUBWAY,PM2.5,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,URBAN_PROF,TRANS_PROF
Argentina,Bahia Blanca,5936.8518,198,1.9180000000000001,5.1609,61.0614,1612.1203,2803.2783,268038.7724,4514.831475,0,0,1.013586192,6.048770848999999,1172.6384289999999,109.3890794,3.446932378,-38.72527197,-62.27405962,268038.7724,5936.8518,4514.831475,0,0,9.400847458,,,,,,,,,,,2,4
Argentina,Mar del Plata,9243.5409,153,1.1238,6.8723,60.8413,5883.8861,8666.1085,560467.5151,6063.342779,0,0,1.011338131,7.587916216,1457.473841,102.7986175,3.6069511419999998,-37.979858,-57.589794,560467.5151,9243.5409,6063.342779,0,0,6.241869919,,,,,,,,,,,3,2
Argentina,San Nicolas de los Arroyos,2481.7488,48,1.1257,4.3717,60.5104,957.0535,1644.4314,122770.5207,4946.933440999999,0,0,1.01921511,5.92690905,1131.306722,107.0183523,3.2696879639999996,-33.345709,-60.218393999999996,122770.5207,2481.7488,4946.933440999999,0,0,9.716981132,,,,,,,,,,,1,4
Argentina,Tandil,2258.19,90,2.4748,4.4081,61.6375,1149.8336,1851.7128,102734.6236,4549.42337,0,0,1.018716751,6.067776272000001,1254.2680560000001,117.8570918,3.434689507,-37.31666545,-59.15000144,102734.6236,2258.19,4549.42337,0,0,6.546080616,,,,,,,,,,,1,4
Argentina,Catamarca,4251.42,108,1.5594,5.031000000000001,61.3476,1478.1669,2408.0371,190076.4706,4470.893738000001,0,0,1.021081615,8.796351657,1427.158541,92.53913769,3.236149698,-28.46600099,-65.78099958,190076.4706,4251.42,4470.893738000001,0,0,9.882079851,,,,,,,,,,,2,2
Argentina,Cordoba,24499.7781,523,1.3933,10.0482,61.5329,13325.4181,20415.9092,1400567.0669999998,5716.64694,1,0,1.027608666,7.902857441,1369.3967539999999,99.32804347,3.2442413039999995,-31.31600392,-64.17999863,1400567.0669999998,24499.7781,5716.64694,1,0,6.315639472999999,,,,,,,,,,,3,4
Argentina,Rio Cuarto,3436.3836,101,1.8097,3.5725,61.5381,1122.9911,1823.8973,109630.8898,3190.3017059999997,0,0,1.014933276,7.953419882,1449.189162,104.4502561,3.377185119,-33.122964,-64.348885,109630.8898,3436.3836,3190.3017059999997,0,0,6.63948832,,,,,,,,,,,1,2
Argentina,Resistencia,5611.7646,153,1.6994,7.0272,60.5938,2899.8367,4652.2583,373266.17299999995,6651.487374,0,0,1.019646026,10.56507887,1658.408786,88.32277421,3.225080386,-27.45700194,-58.98699862,373266.17299999995,5611.7646,6651.487374,0,0,8.471590909,,,,,,,,,,,2,2
Argentina,Comodoro Rivadavia,2086.383,65,2.0012,3.7419,60.8755,1186.7536,1847.5514,90017.96637000001,4314.552784,0,0,1.019961501,9.860154471,1455.7076550000002,85.07995763,3.279434058,-45.82999795,-67.49999964,90017.96637000001,2086.383,4314.552784,0,0,3.0602925869999997,,,,,,,,,,,1,2
Argentina,Corrientes,4436.8192,64,0.9548,4.092,61.0919,2651.6628,4006.1634,336421.3091,7582.487212000001,0,0,1.015970217,10.15281746,1601.376043,88.85135052,3.3327294689999998,-27.486998999999997,-58.81799661,336421.3091,4436.8192,7582.487212000001,0,0,9.505928854,,,,,,,,,,,2,2
Argentina,Buenos Aires,194130.5288,3716,1.2272,14.1341,60.6668,90937.8694,141842.005,14346208.25,7389.983515999999,1,1,1.0164087309999998,6.728766004,1290.05958,106.3986059,3.355518719,-34.62249601,-58.449833700000006,14346208.25,194130.5288,7389.983515999999,1,1,12.26116208,,,,,,,,,,,4,4
Argentina,Concordia,2455.6488,44,1.1582,4.1818,60.4195,1411.8088,2184.1771,122469.7898,4987.265686,0,0,1.014581325,9.238612296,1478.420351,89.25520319,3.375035221,-31.39999947,-58.03333272,122469.7898,2455.6488,4987.265686,0,0,6.828955798,,,,,,,,,,,1,2
Argentina,Parana,4885.468,140,1.7075,4.7401,60.9331,1948.9687,3270.9485,218639.3842,4475.298879999999,0,0,1.021352117,6.570638242,1207.722904,107.5855841,3.174937073,-31.733333000000002,-60.533333,218639.3842,4885.468,4475.298879999999,0,0,7.440486169,,,,,,,,,,,2,4
Argentina,Formosa,2899.2576,96,1.7515,4.6636,62.0132,990.0905,1871.7179999999998,240611.2431,8299.057106999999,0,0,1.013819315,8.164769498,1488.334063,102.8659567,3.3182761,-26.18299803,-58.17699864,240611.2431,2899.2576,8299.057106999999,0,0,9.493666493,,,,,,,,,,,1,2
