Country,L1Name,L2Name,number_of_urban_patches,patch_density,area_weigthed_mean_shape_index,area_weigthed_mean_nearest_neighbor,effective_mesh_size,area_weighted_mean_patch_size,Circuity_average,intersection_density,street_density,street_length_average,streets_per_node_average,urb_perfil,stt_perfil,area,population_density,CentLatitude,CentLongitude
Colombia,Bogota,BOGOTA D.C.,349,0.2135,5.8517,62.0585,5759.6654,28807.7649,1.05505339042833,32.2228266129915,4526.21182840909,82.3965742814994,2.94342233800065,3,1,1645.85188745104,22532.62722,4.31464619511097,-74.1807677374508
Costa Rica,San Jose,SAN JOSE,38,0.8488,3.2862,60.1121,3552.7014,3952.7349,1.05650175748854,100.699002652468,15621.9381595232,89.8713010425908,2.85273848385926,3,5,45.0451333232624,7949.488397,9.9351137208857,-84.1024680227986
El Salvador,San Salvador,SAN SALVADOR,82,1.1475,3.6278,60.8356,2528.5159,4122.6559,1.0763748999577,71.9830858536273,11489.9660563256,91.4388553024421,2.74969678593086,2,1,71.8779965966029,7029.850031,13.6934281090457,-89.2155417676254
El Salvador,San Salvador,ILOPANGO,39,1.1225,3.2264,74.5317,70.3303,330.9973,1.07987335710692,14.2744870970113,3169.38587792581,128.680280903038,2.60830860534124,4,4,34.957473190366,16046.29743,13.692344273687,-89.0954298040575
Chile,Santiago,PROVIDENCIA,6,0.4165,1.6579,60.1951,1148.1287,1284.8413,1.03640175839636,110.032010659612,16755.6105234577,90.8413656944575,3.02665186007773,2,5,14.4321637901585,10797.55745,-33.4315956820935,-70.6119948493626
Peru,Lima,SAN ISIDRO,1,0.103,1.8213,,939.4927,954.9,1.03718488736691,148.731534921923,19807.4557914449,82.5451638849046,3.24050632911392,6,5,9.75583288884699,6086.815373,-12.0989805902171,-77.0366720492595
Chile,Santiago,SANTIAGO,1,0.0432,1.4517,,2313.81,2313.81,1.01735394368523,97.8888245435007,17295.3327240168,100.639091209978,3.30866205774705,6,5,23.1997882351809,12671.56767,-33.4532655768048,-70.6566358459684
Costa Rica,San Jose,SANTA ANA,150,2.445,8.0796,63.7849,175.8051,796.6567,1.16017619603742,17.0353238750298,4528.50040126951,148.672608071504,2.45762711864406,2,4,61.7540357739842,3867.210293,9.92017468467969,-84.1889217202614
Guatemala,Guatemala City,Mixco,81,0.8976,6.0987,68.6686,1230.429,2871.1823,1.08251706731671,72.741706487343,10774.1772936061,85.9786307556253,2.66074332171893,2,1,90.7732347624936,12613.9301,14.6398541587806,-90.5872565770919
Costa Rica,San Jose,MONTES DE OCA,28,1.8007,2.6067,60.5246,512.5744,867.0205,1.06471753358688,57.3172920811909,8800.86383335996,89.7271142885532,2.62040133779264,2,1,15.6497274632127,6487.609599,9.9419249789841,-84.0189701984636
Argentina,Buenos Aires,Comuna 3,1,0.1567,1.1361,,638.01,638.01,1.00215422552313,73.4215295266757,15797.1667061842,119.814998048424,3.77542372881355,6,5,6.40139211250343,29987.46101,-34.6157339428091,-58.403399655469
Guatemala,Guatemala City,Guatemala,219,1.0196,5.9292,63.288,2502.2405,5559.4577,1.07648272496028,68.0718565403433,10572.9949644971,89.2612274262203,2.84584257206208,3,1,216.065797930502,10277.30391,14.6345316319659,-90.4793949864607
Costa Rica,San Jose,CURRIDABAT,29,1.7902,4.2495,60.4308,793.3574,1114.7259,1.08901568872172,65.7051431922517,11726.6625437488,103.21042112745,2.58637302133516,2,1,16.3000938429778,6291.43898,9.91747399297159,-84.0278171509224
Peru,Lima,LIMA,1,0.0467,2.5566,,2142.54,2142.54,1.02502856794783,127.745384134245,18449.5392623169,85.9118694815895,3.18859060402684,6,5,21.550680822306,13856.91749,-12.0510930222502,-77.0489034449147
Costa Rica,San Jose,BELEN,12,0.9635,3.2266,60.079,830.5314,1003.2204,1.10452446236675,43.4598276017103,8250.15554427337,109.019560587687,2.45075757575757,2,1,12.5403166573663,2320.084575,9.98327195112166,-84.1774375047694
Costa Rica,San Jose,FLORES,5,0.7414,2.0001,67.4649,563.2944,610.0253,1.06160100829744,49.6889478329535,9222.13218315418,110.505784444877,2.60444444444444,2,1,6.78219231232147,3503.075268,10.0066101819273,-84.1560687824985
Costa Rica,San Jose,ESCAZU,79,2.285,4.6958,62.2723,576.0363,1291.0823,1.11542270338638,34.3620501993753,7405.42638411762,121.82429966456,2.4708963911525,2,1,34.7767375074064,4085.419219,9.91457568826585,-84.1451671183554
Costa Rica,San Jose,HEREDIA,38,0.1343,3.2484,61.4818,128.9377,1851.9555,1.07168451956467,6.7302637288495,1052.77045643749,88.2470801509035,2.66214645486245,2,2,284.832820411288,6438.708695,10.1496250355821,-84.0747147419844
Argentina,Buenos Aires,Comuna 1,9,0.4958,2.3688,60.0248,1120.3671,1414.4143,1.02125756974374,84.5973705694283,14366.5387890457,96.019109855719,3.37688139674894,2,5,18.2393375776812,16966.14366,-34.6078757795351,-58.3721555387982
Brasil,Recife,RECIFE,362,1.6573,4.8678,60.7408,7464.0704,12131.5888,1.04530660104993,66.1452047113743,10398.5975828936,93.8707408469738,2.93701969260326,3,1,219.849648412976,11688.0817,-8.03922542664248,-34.9331747283796
Brasil,Vitoria,VIT5RIA,128,1.4548,4.1137,61.234,580.689,1326.3512,1.07062405027593,58.1074917746076,7361.70295554368,73.7039508783545,2.77034434293745,2,1,98.6963956772633,8950.801884,-20.3026672669392,-39.1554393726435
Colombia,Bogota,COTA,159,2.8368,3.5478,70.2782,5.4169,48.9338,1.08644136514328,7.56005556006902,2558.28692914457,203.513766041642,2.69043151969981,4,2,56.481066389954,3605.55072,4.78754115497278,-74.1250073745128
Costa Rica,San Jose,GOICOECHEA,37,1.1691,4.0921,62.4131,396.7229,1055.916,1.07873511819305,46.4543613613217,7447.17510596745,92.7526329929911,2.62234580384226,2,1,31.8592260582073,10544.95913,9.9581843224973,-83.989055052317
Peru,Lima,SANTIAGO DE SURCO,3,0.0868,2.7718,60.0013,2471.8319,2920.1424,1.05286086883804,113.437315187459,16126.54970897,86.9874832272579,2.95717199184228,2,5,34.7592852800161,10787.16812,-12.1269927176198,-76.984379960327
El Salvador,San Salvador,ANTIGUO CUSCATLAN,36,1.6738,2.5346,60.392,300.4309,758.392,1.08604186705525,50.0455158272078,8379.60045270964,97.023580347395,2.51495016611295,2,1,21.6403004764557,4538.807319,13.6742984191154,-89.2530967071323
Costa Rica,San Jose,TIBAS,8,0.9595,2.3548,60.1637,630.0311,720.9249,1.06043860467954,87.9499386027668,14069.0557959822,92.5198880964038,2.70197300103842,2,5,8.39113718240597,10669.32916,9.95865951490821,-84.0810705443448
Brasil,Rio de Janeiro,NITER0I,272,2.0333,5.2481,62.5043,411.648,1190.4379,1.10975022146778,37.6973217677978,7945.03608766019,121.639485422585,2.69969372128637,2,1,134.545367207827,10595.44038,-22.9151303880695,-43.0554290973357
Costa Rica,San Jose,ALAJUELITA,36,1.676,3.2356,62.0288,80.1746,295.8787,1.10137174181785,32.3283586445726,5782.45664546789,101.236925629472,2.47808764940239,4,1,21.6218833651596,13911.1386,9.88742187836392,-84.1146275432261
Mexico,Mexico City,Benito Julrez,1,0.0374,1.2638,,2671.38,2671.38,1.00861025037217,131.623788245619,22480.6868753185,95.2816655077924,3.46424702058504,6,5,26.8416526153096,14345.16991,19.3806423462793,-99.1611346405676
Colombia,Villavicencio,VILLAVICENCIO,564,0.4298,3.5668,92.5683,26.7487,978.3313,1.06424814458121,4.03340553581982,741.441384127939,106.545025889837,2.88627450980392,1,6,1321.46394719434,12027.88997,4.09185812995834,-73.4881161687262
Brasil,Recife,OLINDA,11,0.264,2.3312,60.0402,3772.6294,3957.3209,1.03371001658331,96.2302553969868,14706.7966144327,91.2950035820214,2.89611217335882,3,5,41.9514630128104,9713.726912,-7.99309802715358,-34.8661273887485
Peru,Lima,LA VICTORIA,1,0.1094,1.4901,,913.77,913.77,1.03018917108372,166.187853335889,22851.7789587927,82.9485695418896,3.26898734177215,6,5,9.19441444924191,20774.48373,-12.0723328386376,-77.0173856345528
Brasil,Sao Luis,S1O LU0S,707,0.847,7.2107,62.2545,1269.7425,7709.4375,1.04469213587512,20.2156666505227,3386.00964596154,99.6205454581614,2.92926193033604,3,4,840.387818700042,7414.781014,-2.63147937844282,-44.3071276369795
Argentina,Buenos Aires,Comuna 5,1,0.1501,1.3815,,666.36,666.36,1.00097576784952,74.5920867152244,15291.6147733337,115.88147816556,3.7120315581854,6,5,6.67631141492595,27807.94165,-34.619260665473,-58.4213216498695
Colombia,Bogota,FUNZA,132,1.8973,2.8704,78.4915,25.3176,256.0945,1.08120701176809,10.3799893379533,2536.16328390127,141.31212809719,2.69693769799366,4,4,70.0386075871775,9944.604379,4.74305062037632,-74.1977933346332
Colombia,Cali,CALI,304,0.55,5.6481,65.8646,2212.2588,10594.8683,1.05661524571402,36.2143816311561,5458.81919154051,88.9135948528756,3.16140074941018,3,1,556.546849405822,19447.58944,3.39995971614975,-76.5744333134343
Costa Rica,San Jose,ALAJUELA,689,1.7617,6.3975,67.7575,422.8118,2908.4282,1.10971369278684,9.85720928044281,2873.94603987947,161.601790674799,2.40082009226037,2,4,393.721984547908,4794.717152,10.0940774336972,-84.225646553042
Colombia,Barranquilla,BARRANQUILLA,118,0.7313,3.2981,67.415,3271.0341,6840.4929,1.0175537983782,60.2563670266004,9795.97376409194,92.7248285561801,3.25353706847764,3,5,162.439265475116,15377.31325,10.9855345366137,-74.8292105036531
Colombia,Valledupar,VALLEDUPAR,211,0.05,4.6306,116.7267,15.7337,2271.5563,1.05240797590103,1.31153969926331,283.917332945827,121.716069380406,3.27831982801389,1,6,4248.44173846187,13800.17582,10.3819589174455,-73.4638907293725
Brasil,Sao Paulo,S5O PAULO,943,0.62,6.6552,60.8339,46347.2997,79652.2718,1.05262947404765,67.9949644693784,11249.7305922274,98.8709605922038,2.92274425830289,3,1,1528.0543318291,13093.32944,-23.6500805401929,-46.6481108503728
Mexico,Mexico City,Cuauht moc,1,0.0308,1.3123,,3251.88,3251.88,1.01120509461696,123.136084341998,20948.3877243947,95.900128480107,3.45001193032689,6,5,32.6955337382516,16190.11157,19.4313734282856,-99.1490557562777
Peru,Lima,SURQUILLO,1,0.2163,1.7292,,462.42,462.42,1.02171500266979,192.45400277367,23716.4798396893,75.4206399747463,3.14626556016597,6,5,4.65565790831439,20100.55793,-12.1134363133338,-77.0129857545859
Peru,Lima,MIRAFLORES,1,0.1094,2.1361,,731.8359,817.92,1.02161920725754,148.566670653364,21366.9882076556,85.1464412292348,3.37571022727272,6,5,9.20125620361704,10525.60153,-12.1209111982331,-77.0289336383756
Nicaragua,Managua,Managua,608,2.262,5.8899,61.7947,3107.265,8061.0695,1.04524083800643,51.5565679222329,8084.5900335445,90.5547746804129,2.89466115405356,3,1,270.479602541317,9048.265705,12.1065995137645,-86.2523215950226
Colombia,Bogota,MOSQUERA,112,1.0538,3.7185,82.554,26.3446,331.4684,1.07265473685501,10.6064556517246,1989.01313632959,110.111170301259,2.78127233738384,4,4,107.010299884245,8606.198357,4.67290491946318,-74.2362707272944
Guatemala,Guatemala City,Santa Catarina Pinula,183,2.7202,6.8585,67.5118,113.3198,533.9473,1.15880102552705,38.6301003437229,6888.0214938529,99.3593650933175,2.33869769744986,4,1,67.6674400724084,6454.164774,14.5634970748513,-90.4650556601428
