SALID1,L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,URBAN_PROF,URBAN_PROB,TRANS_PROF,TRANS_PROB,LAT,LONG,SECPOV,AREA,POP,CNSMINPRM,CNSMINPRF,CNSUNEMPLM,CNSUNEMPLF,BRT,SUBWAY
101101,Bahia Blanca,Argentina,487,0.2131,77.6331,2644.8505,5.1337,76.6488,1.032771033,3.67073743,938.4364745,142.7773087,3.411744545,2,9.99E-01,2,0.979105195,-38.72527197,-62.27405962,0,6709.0581,304207,83.48871677,81.66793972,4.983075896,8.192796325,0,0
101103,Mar del Plata,Argentina,765,0.5311,601.5286,8368.3755,6.7311,68.6631,1.02175559,10.80174931,2583.854577,130.0727985,3.505520118,4,1.00E+00,3,0.967661769,-37.979858,-57.589794,0,10352.898,624389,80.21473199,79.7747354,4.67409229,8.798722857,0,0
101104,San Nicolas de los Arroyos,Argentina,166,0.2456,57.7036,1353.3899,4.0292,79.5763,1.028876481,4.375523191,1140.411408,142.470201,3.211101001,2,1.00E+00,2,0.98634552,-33.345709,-60.218394,0,2881.4446,146973,85.21585954,81.40375591,5.3855632,9.153358592,0,0
101105,Tandil,Argentina,491,0.1011,8.7144,1556.2258,3.9911,126.0122,1.066891586,0.707934129,402.6114162,327.9991184,3.23861518,3,9.99E-01,1,0.999981034,-37.31666545,-59.15000144,0,2719.3544,124628,84.45824473,83.07368343,4.480337079,7.920223832,0,0
101106,Catamarca,Argentina,250,0.2131,87.3944,2196.9427,4.7825,72.2277,1.048574644,5.392896426,1115.701114,116.078141,3.191040091,2,1.00E+00,2,0.99272002,-28.46600099,-65.78099958,0,4666.5,203972,81.75646635,82.19259024,5.05712463,10.20644748,0,0
101107,Cordoba,Argentina,1809,0.6109,1675.7533,16720.7425,8.6569,67.9044,1.050706298,11.86103956,2662.29909,128.227721,3.195562838,1,9.96E-01,3,0.988880212,-31.31600392,-64.17999863,0,29679.1776,1598919,85.09984989,83.98241004,4.915344643,9.209946349,1,0
101108,Rio Cuarto,Argentina,1872,0.1008,5.7036,1361.2845,3.7062,227.3486,1.052379346,0.542890982,372.5115392,397.8506567,3.277523578,3,1.00E+00,1,0.999998921,-33.122964,-64.348885,0,7784.712,251770,78.21120748,78.3777454,3.377390448,8.020573817,0,0
101109,Resistencia,Argentina,445,0.0959,59.317,4432.9149,6.817,74.7533,1.069711472,2.296927222,661.0437714,160.9849045,3.106137067,2,9.30E-01,1,0.913024863,-27.45700194,-58.98699862,0,6209.263,412467,77.08925631,77.04015237,5.340412545,7.818743874,0,0
101110,Comodoro Rivadavia,Argentina,568,0.0398,2.8667,972.1899,3.1574,126.1183,1.14853407,0.681905567,297.4750114,246.9201039,3.075925926,3,1.00E+00,1,0.983673259,-45.82999795,-67.49999964,0,4210.584,187919,81.48374808,80.36304201,4.138844727,7.487746094,0,0
101111,Corrientes,Argentina,310,0.5517,314.6681,3684.5797,4.0633,69.7805,1.031139198,12.01607263,2258.386285,104.842222,3.2826532,4,9.99E-01,3,0.973662584,-27.486999,-58.81799661,0,4798.521,367003,77.51408191,77.69869997,5.242696374,8.854507672,0,0
101112,Buenos Aires,Argentina,7549,0.7563,26892.498,132006.4795,13.2696,62.7371,1.019726499,21.16285525,4572.087321,119.4591993,3.366260753,1,1.00E+00,3,1,-34.62249601,-58.4498337,0,203345.1483,14791105,82.75748088,80.8710525,4.66893929,8.4301513,1,1
101113,Concordia,Argentina,559,0.1692,15.618,1507.0211,3.2215,120.7413,1.040125458,1.399759538,521.7659656,202.5016602,3.275179856,3,9.98E-01,1,0.999532018,-31.39999947,-58.03333272,0,3424.1545,172660,71.79866218,74.07500427,3.234237177,6.517476844,0,0
101114,Parana,Argentina,1037,0.2024,31.8179,2159.3612,4.6096,125.1056,1.056002342,1.852894583,720.6026618,221.004193,3.199150907,3,8.91E-01,1,0.99481966,-31.733333,-60.533333,0,7550.0859,345428,79.97764561,78.79365882,3.700949298,7.284446909,0,0
101115,Formosa,Argentina,358,0.056,8.5886,1749.9509,4.4193,83.5585,1.036903539,0.724734374,230.4510769,170.2139309,3.302694136,3,8.58E-01,1,0.999690088,-26.18299803,-58.17699864,0,3139.302,263235,77.21505169,77.10339521,4.151543059,6.731612506,0,0
101116,Jujuy,Argentina,276,0.1093,19.559,1180.0878,4.5615,72.921,1.096950085,3.534423329,771.5017918,127.8575923,3.104996965,3,8.56E-01,2,0.870310117,-24.18333227,-65.30000304,0,4185.54,322516,80.37514542,77.74962476,4.23241575,7.745642427,0,0
101117,Santa Rosa,Argentina,208,0.0273,10.2782,2345.8723,5.4965,120.4968,1.013923101,0.633690985,274.3773654,240.2084339,3.409951652,3,9.05E-01,1,0.999869032,-36.61666476,-64.2833327,0,3341.3328,120521,80.16777788,80.42075112,4.453652548,7.763809524,0,0
101118,La Rioja,Argentina,260,0.0198,8.2121,2547.9585,4.9404,93.0326,1.060361976,0.436725155,131.0780464,168.7502458,3.198843559,2,7.46E-01,1,0.999580044,-29.41299893,-66.85499664,0,4224.324,185581,80.69416632,82.08683067,5.281645967,9.029574122,0,0
101119,Mendoza,Argentina,2658,0.1829,181.7494,11091.1582,7.4444,83.1285,1.05533457,1.515823488,431.8737628,158.5410342,2.994885917,4,1.00E+00,1,0.993450248,-32.89699806,-68.83000158,0,23812.4904,1109102,80.82376643,79.17691371,5.208399907,9.717838311,0,0
101120,San Rafael,Argentina,1123,0.035,1.4752,1082.1987,4.3079,162.6552,1.05546012,0.152873783,114.7949957,347.463116,3.145952722,3,1.00E+00,1,0.999987179,-34.59999838,-68.33333578,0,4372.7374,191942,74.42192437,74.12612279,5.462048217,11.24849216,0,0
101121,Posadas,Argentina,299,0.3147,228.0604,3648.62,4.4801,66.7548,1.034990975,10.40273095,2109.225998,117.1951812,3.211316182,2,6.48E-01,3,0.55664991,-27.39799808,-55.90600168,0,5938.4689,328137,76.64182484,75.55896123,4.89735161,8.238431373,0,0
101122,Neuquen-Plottier-Cipolletti,Argentina,2234,0.102,15.6205,2079.2218,4.4191,128.9648,1.049867571,1.251171544,403.0079198,181.4638507,3.174095963,4,9.99E-01,1,0.999544332,-38.944908,-68.2833326,0,16460.5588,702444,78.61338685,78.36558471,5.45693726,8.32207956,0,0
101123,San Carlos de Bariloche,Argentina,410,0.0741,4.1436,740.2788,4.4184,75.001,1.106901948,0.866398982,292.5813366,192.1238255,2.988778055,3,9.35E-01,1,0.997853391,-41.15000145,-71.30000304,0,3098.165,135338,75.84181117,74.74686995,5.47673249,9.783790699,0,0
101124,Salta,Argentina,553,0.165,117.4228,4446.8497,5.92,78.7708,1.06072704,3.831420884,840.8979175,121.5329335,3.177787313,2,9.43E-01,2,0.985326512,-24.783333,-65.416667,0,8851.9263,591105,79.91500901,78.95497378,5.325923433,10.20256194,0,0
101125,Santiago del Estero,Argentina,455,0.0778,58.0004,4739.5912,5.5302,83.0039,1.035588904,1.599862977,494.1952003,171.8051004,3.289832182,2,9.73E-01,1,0.998340006,-27.79000206,-64.26899971,0,7154.8295,411657,76.70125647,77.16248065,4.427155876,8.723754361,0,0
101126,Rosario,Argentina,1634,0.4217,668.8705,10459.7196,7.2509,74.4462,1.028850141,7.672037419,2171.455435,159.6598494,3.311923439,4,1.00E+00,2,0.983958877,-32.93773203,-60.66393257,0,24780.5904,1378242,80.91408095,79.2090411,4.749551868,9.019896002,1,0
