L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,URBAN_PROF,URBAN_PROB,TRANS_PROF,TRANS_PROB,LAT,LONG
Bahia Blanca,Argentina,487,0.2131,77.6331,2644.8505,5.1337,76.6488,1.032771033,3.67073743,938.4364745,142.7773087,3.411744545,2,0.9995,2,0.9791,-38.72527197,-62.27405962
Mar del Plata,Argentina,765,0.5311,601.5286,8368.3755,6.7311,68.6631,1.02175559,10.80174931,2583.854577,130.0727985,3.505520118,4,0.9998,3,0.9677,-37.979858,-57.589794
San Nicolas de los Arroyos,Argentina,166,0.2456,57.7036,1353.3899,4.0292,79.5763,1.028876481,4.375523191,1140.411408,142.470201,3.211101001,2,0.9999,2,0.9863,-33.345709,-60.218394
Tandil,Argentina,491,0.1011,8.7144,1556.2258,3.9911,126.0122,1.066891586,0.707934129,402.6114162,327.9991184,3.23861518,3,0.9993,1,1.0000,-37.31666545,-59.15000144
Catamarca,Argentina,250,0.2131,87.3944,2196.9427,4.7825,72.2277,1.048574644,5.392896426,1115.701114,116.078141,3.191040091,2,0.9998,2,0.9927,-28.46600099,-65.78099958
Cordoba,Argentina,1809,0.6109,1675.7533,16720.7425,8.6569,67.9044,1.050706298,11.86103956,2662.29909,128.227721,3.195562838,1,0.9957,3,0.9889,-31.31600392,-64.17999863
Rio Cuarto,Argentina,1872,0.1008,5.7036,1361.2845,3.7062,227.3486,1.052379346,0.542890982,372.5115392,397.8506567,3.277523578,3,1.0000,1,1.0000,-33.122964,-64.348885
Resistencia,Argentina,445,0.0959,59.317,4432.9149,6.817,74.7533,1.069711472,2.296927222,661.0437714,160.9849045,3.106137067,2,0.9299,1,0.9130,-27.45700194,-58.98699862
Comodoro Rivadavia,Argentina,568,0.0398,2.8667,972.1899,3.1574,126.1183,1.14853407,0.681905567,297.4750114,246.9201039,3.075925926,3,0.9998,1,0.9837,-45.82999795,-67.49999964
Corrientes,Argentina,310,0.5517,314.6681,3684.5797,4.0633,69.7805,1.031139198,12.01607263,2258.386285,104.842222,3.2826532,4,0.9995,3,0.9737,-27.486999,-58.81799661
Buenos Aires,Argentina,7549,0.7563,26892.498,132006.4795,13.2696,62.7371,1.019726499,21.16285525,4572.087321,119.4591993,3.366260753,1,1.0000,3,1.0000,-34.62249601,-58.4498337
Concordia,Argentina,559,0.1692,15.618,1507.0211,3.2215,120.7413,1.040125458,1.399759538,521.7659656,202.5016602,3.275179856,3,0.9978,1,0.9995,-31.39999947,-58.03333272
Parana,Argentina,1037,0.2024,31.8179,2159.3612,4.6096,125.1056,1.056002342,1.852894583,720.6026618,221.004193,3.199150907,3,0.8913,1,0.9948,-31.733333,-60.533333
Formosa,Argentina,358,0.056,8.5886,1749.9509,4.4193,83.5585,1.036903539,0.724734374,230.4510769,170.2139309,3.302694136,3,0.8583,1,0.9997,-26.18299803,-58.17699864
Jujuy,Argentina,276,0.1093,19.559,1180.0878,4.5615,72.921,1.096950085,3.534423329,771.5017918,127.8575923,3.104996965,3,0.8561,2,0.8703,-24.18333227,-65.30000304
Santa Rosa,Argentina,208,0.0273,10.2782,2345.8723,5.4965,120.4968,1.013923101,0.633690985,274.3773654,240.2084339,3.409951652,3,0.9052,1,0.9999,-36.61666476,-64.2833327
