L1,L2,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,TRANS_PROF,TRANS_PROB,URBAN_PROF,URBAN_PROB,LAT,LONG
Buenos Aires,BahÌa Blanca,Argentina,487,0.2131,77.6599,2644.8742,5.1337,76.6491,1.032761004,3.672485192,939.2877988,144.0040542,3.411005823,4,0.9933,1,0.9993,-38.5853169702967,-62.1706249182144
Buenos Aires,Comuna 12,Argentina,1,0.0642,1557.18,1557.18,1.4735,0,1.010627003,102.3765349,18590.83084,99.89160962,3.6191052,3,1.0000,4,1.0000,-34.5680948294152,-58.4910368124922
Buenos Aires,Comuna 13,Argentina,13,0.8836,1264.0834,1359.9129,2.5395,60.0462,1.026108492,90.57145277,16060.25921,98.45462925,3.473831124,1,1.0000,3,0.9952,-34.5564456490851,-58.4547287961362
Buenos Aires,Comuna 4,Argentina,8,0.3611,1990.2022,2091.1138,2.2122,67.1673,1.027100945,79.57741792,14502.01455,104.4230942,3.361758475,1,1.0000,4,0.5801,-34.6435755352241,-58.3881277966008
Buenos Aires,Comuna 6,Argentina,1,0.146,684.9,684.9,1.2914,0,1.00576424,83.14704093,15379.25856,106.14551,3.525963149,1,1.0000,4,1.0000,-34.6187342698568,-58.4443190717368
Buenos Aires,Comuna 7,Argentina,7,0.5639,1106.3997,1166.2599,2.145,60.0694,1.016293768,103.8948996,18143.37746,99.46032124,3.454346238,3,1.0000,4,0.5307,-34.6384490078252,-58.4526397103585
Buenos Aires,Comuna 14,Argentina,11,0.676,1395.209,1498.1159,2.15,60.0138,1.025876913,74.45866374,12662.18585,97.69207894,3.21570066,1,1.0000,3,0.8576,-34.5754064419445,-58.4226180941807
Buenos Aires,Comuna 2,Argentina,3,0.4756,599.2624,614.5202,2.4513,108.1727,1.035454537,66.47071446,13214.29022,116.6137502,3.407488987,1,1.0000,4,1.0000,-34.5877959074651,-58.3954722472048
Buenos Aires,Comuna 5,Argentina,1,0.1501,666.36,666.36,1.3815,0,1.000975768,74.59208672,15291.61477,115.8814782,3.712031558,1,1.0000,4,1.0000,-34.6192606654730,-58.4213216498695
Buenos Aires,Comuna 15,Argentina,1,0.0698,1432.98,1432.98,1.5336,0,1.017602551,101.4819464,17379.36768,95.85848626,3.513988289,3,1.0000,4,1.0000,-34.5937737678165,-58.4635245714838
